"class","category","indicator_name","series_name","sub_series_name","parameter","value","units","date_last_updated"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-08-19","12132","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-08-20","10386","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-08-21","14676","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-08-22","11587","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-08-23","10033","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-08-24"," 9269","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-08-25","10675","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-08-26","11413","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-08-27","10854","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-08-28","13718","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-08-29","10081","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-08-30","10699","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-08-31"," 9762","Number","12-10-21"
"Economic","Travel","Daily border crossings (by port) - arrivals","Auckland","Auckland","2016-09-01","10838","Number","12-10-21"
